Name,AdminNo,Class,GPA,ModuleCode,ModuleName,CreditUnit,StudentMark
,,,,ST0506,SEP,4,65
,,,,
Owjduc,p2340023,DIT/FT/1B/09,2.42,ST0509,JPRG,5,72
,,,,ST0506,SEP,7,67
,,,,
Npwwoa,p2340024,DIT/FT/1B/08,2.5,ST0525,DBS,4,71
,,,,ST0525,DBS,4,65
,,,,
Izdxra,p2340025,DIT/FT/1B/10,4.0,ST0509,JPRG,7,83
,,,,ST0506,SEP,4,88
,,,,
Hehlen,p2340026,DIT/FT/1B/09,2.42,ST0509,JPRG,7,68
,,,,ST0509,JPRG,5,78
,,,,
Tdbjky,p2340027,DIT/FT/1B/10,3.54,ST0509,JPRG,7,86
,,,,ST0503,FOP,6,79
,,,,
Suyvwc,p2340028,DIT/FT/1B/15,2.8,ST0509,JPRG,6,67
,,,,ST0503,FOP,4,82
,,,,
Zhruct,p2340029,DIT/FT/1B/09,4.0,ST0506,SEP,4,90
,,,,ST0503,FOP,6,89
,,,,
Trskxw,p2340030,DIT/FT/1B/13,3.0,ST0506,SEP,5,90
,,,,ST0509,JPRG,5,63
,,,,
Hzborq,p2340031,DIT/FT/1B/13,2.6,ST0509,JPRG,6,70
,,,,ST0509,JPRG,4,63
,,,,
Vntbfn,p2340032,DIT/FT/1B/07,2.5,ST0503,FOP,7,61
,,,,ST0525,DBS,7,78
,,,,
Zlgqop,p2340033,DIT/FT/1B/03,3.0,ST0509,JPRG,5,86
,,,,ST0503,FOP,5,65
,,,,
Lrfhiy,p2340034,DIT/FT/1B/01,3.45,ST0509,JPRG,5,82
,,,,ST0506,SEP,6,70
,,,,
Bckpxc,p2340035,DIT/FT/1B/10,4.0,ST0503,FOP,6,82
,,,,ST0525,DBS,6,87
,,,,
Kotees,p2340036,DIT/FT/1B/06,3.0,ST0509,JPRG,5,77
,,,,ST0509,JPRG,4,71
,,,,
Vkaabd,p2340037,DIT/FT/1B/11,3.44,ST0525,DBS,4,90
,,,,ST0509,JPRG,5,74
,,,,
Yorwcl,p2340038,DIT/FT/1B/12,2.73,ST0525,DBS,7,68
,,,,ST0506,SEP,4,81
,,,,
Ruhzaf,p2340039,DIT/FT/1B/04,2.54,ST0503,FOP,7,71
,,,,ST0506,SEP,6,62
,,,,
Mvkbmu,p2340040,DIT/FT/1B/07,4.0,ST0506,SEP,5,85
,,,,ST0525,DBS,4,80
,,,,
Owtrqe,p2340041,DIT/FT/1B/10,3.0,ST0509,JPRG,6,76
,,,,ST0503,FOP,4,79
,,,,
Cclyja,p2340042,DIT/FT/1B/11,2.56,ST0525,DBS,5,77
,,,,ST0506,SEP,4,69
,,,,
Dylvgu,p2340043,DIT/FT/1B/03,4.0,ST0525,DBS,4,84
,,,,ST0509,JPRG,7,80
,,,,
Rawebh,p2340044,DIT/FT/1B/07,3.4,ST0506,SEP,4,80
,,,,ST0509,JPRG,6,71
,,,,
Cqjsgs,p2340045,DIT/FT/1B/12,3.64,ST0509,JPRG,4,79
,,,,ST0525,DBS,7,90
,,,,
Ajiqrz,p2340046,DIT/FT/1B/15,4.0,ST0525,DBS,5,82
,,,,ST0509,JPRG,6,89
,,,,
Qyhutn,p2340047,DIT/FT/1B/14,2.56,ST0503,FOP,4,62
,,,,ST0503,FOP,5,75
,,,,
Igfddr,p2340048,DIT/FT/1B/10,3.6,ST0503,FOP,6,84
,,,,ST0506,SEP,4,72
,,,,
Ixoows,p2340049,DIT/FT/1B/14,3.17,ST0503,FOP,7,85
,,,,ST0506,SEP,5,61
,,,,
Cvrdyd,p2340050,DIT/FT/1B/12,2.46,ST0509,JPRG,6,76
,,,,ST0509,JPRG,7,63
,,,,
Lvfpob,p2340051,DIT/FT/1B/12,4.0,ST0506,SEP,5,82
,,,,ST0509,JPRG,7,90
,,,,
Tcrptu,p2340052,DIT/FT/1B/08,2.92,ST0506,SEP,7,63
,,,,ST0506,SEP,6,80
,,,,
Ajlphj,p2340053,DIT/FT/1B/09,3.42,ST0525,DBS,5,85
,,,,ST0509,JPRG,7,78
,,,,
Dnprix,p2340054,DIT/FT/1B/06,2.44,ST0509,JPRG,4,76
,,,,ST0506,SEP,5,62
,,,,
Qtpjyh,p2340055,DIT/FT/1B/07,2.5,ST0525,DBS,7,72
,,,,ST0509,JPRG,7,68
,,,,
Qntyos,p2340056,DIT/FT/1B/13,2.0,ST0525,DBS,4,67
,,,,ST0506,SEP,7,67
,,,,
Nisdwp,p2340057,DIT/FT/1B/05,2.0,ST0506,SEP,6,65
,,,,ST0509,JPRG,7,64
,,,,
Rfrgij,p2340058,DIT/FT/1B/13,3.6,ST0525,DBS,4,76
,,,,ST0525,DBS,6,89
,,,,
Pdwtyi,p2340059,DIT/FT/1B/03,3.0,ST0506,SEP,5,71
,,,,ST0506,SEP,5,70
,,,,
Zizfcs,p2340060,DIT/FT/1B/13,4.0,ST0525,DBS,4,84
,,,,ST0509,JPRG,5,87
,,,,
Zhyqkv,p2340061,DIT/FT/1B/08,4.0,ST0503,FOP,4,90
,,,,ST0506,SEP,5,86
,,,,
Rlimxa,p2340062,DIT/FT/1B/13,2.36,ST0503,FOP,4,77
,,,,ST0506,SEP,7,63
,,,,
Grjwow,p2340063,DIT/FT/1B/10,2.46,ST0525,DBS,6,79
,,,,ST0509,JPRG,7,62
,,,,
Igdqqw,p2340064,DIT/FT/1B/10,4.0,ST0503,FOP,5,90
,,,,ST0506,SEP,7,86
,,,,
Injpmn,p2340065,DIT/FT/1B/11,3.08,ST0509,JPRG,7,87
,,,,ST0525,DBS,6,62
,,,,
Pvfkjc,p2340066,DIT/FT/1B/15,3.55,ST0503,FOP,6,84
,,,,ST0509,JPRG,5,73
,,,,
Iyowft,p2340067,DIT/FT/1B/15,3.0,ST0525,DBS,4,79
,,,,ST0503,FOP,7,79
,,,,
Mmgbxk,p2340068,DIT/FT/1B/15,4.0,ST0525,DBS,4,87
,,,,ST0506,SEP,4,89
,,,,
Nnztvz,p2340069,DIT/FT/1B/12,3.5,ST0503,FOP,6,85
,,,,ST0506,SEP,6,75
,,,,
Aimvvf,p2340070,DIT/FT/1B/01,3.0,ST0506,SEP,6,74
,,,,ST0525,DBS,5,78
,,,,
Ukqrde,p2340071,DIT/FT/1B/13,2.0,ST0509,JPRG,6,64
,,,,ST0503,FOP,4,64
,,,,
Hnetgt,p2340072,DIT/FT/1B/05,2.0,ST0503,FOP,6,67
,,,,ST0509,JPRG,5,69
,,,,
Cppfqk,p2340073,DIT/FT/1B/05,3.55,ST0509,JPRG,6,83
,,,,ST0506,SEP,5,79
,,,,
Nbufdi,p2340074,DIT/FT/1B/07,2.44,ST0503,FOP,4,70
,,,,ST0525,DBS,5,60
,,,,
Bbmgss,p2340075,DIT/FT/1B/03,3.56,ST0503,FOP,5,80
,,,,ST0506,SEP,4,74
,,,,
Zowyju,p2340076,DIT/FT/1B/01,2.44,ST0525,DBS,5,64
,,,,ST0503,FOP,4,75
,,,,
Tmxuyt,p2340077,DIT/FT/1B/05,2.0,ST0525,DBS,4,63
,,,,ST0509,JPRG,6,62
,,,,
Hjyrri,p2340078,DIT/FT/1B/09,2.89,ST0503,FOP,5,62
,,,,ST0506,SEP,4,87
,,,,
Hyfwbq,p2340079,DIT/FT/1B/09,3.36,ST0503,FOP,7,72
,,,,ST0506,SEP,4,82
,,,,
Tvzuqo,p2340080,DIT/FT/1B/10,3.42,ST0525,DBS,7,74
,,,,ST0525,DBS,5,81
,,,,
Hxknaw,p2340081,DIT/FT/1B/07,2.58,ST0525,DBS,7,76
,,,,ST0509,JPRG,5,67
,,,,
Sidkme,p2340082,DIT/FT/1B/14,2.92,ST0506,SEP,7,69
,,,,ST0506,SEP,6,81
,,,,
Wutcnx,p2340083,DIT/FT/1B/07,3.5,ST0509,JPRG,4,81
,,,,ST0509,JPRG,4,72
,,,,
Fyhrwl,p2340084,DIT/FT/1B/04,3.0,ST0509,JPRG,5,61
,,,,ST0503,FOP,5,80
,,,,
Fyqovk,p2340085,DIT/FT/1B/01,3.54,ST0503,FOP,6,78
,,,,ST0525,DBS,7,87
,,,,
Yxjrzl,p2340086,DIT/FT/1B/11,3.11,ST0506,SEP,4,67
,,,,ST0509,JPRG,5,87
,,,,
Hdrfvb,p2340087,DIT/FT/1B/15,4.0,ST0525,DBS,6,89
,,,,ST0509,JPRG,6,82
,,,,
Kxdhqt,p2340088,DIT/FT/1B/03,3.55,ST0506,SEP,6,82
,,,,ST0525,DBS,5,79
,,,,
Mlqggt,p2340089,DIT/FT/1B/14,4.0,ST0506,SEP,4,84
,,,,ST0509,JPRG,4,90
,,,,
Ektchy,p2340090,DIT/FT/1B/11,3.0,ST0525,DBS,4,66
,,,,ST0525,DBS,4,84
,,,,
Thffef,p2340091,DIT/FT/1B/14,2.55,ST0503,FOP,6,75
,,,,ST0503,FOP,5,67
,,,,
Agmgkc,p2340092,DIT/FT/1B/12,2.42,ST0509,JPRG,5,79
,,,,ST0503,FOP,7,64
,,,,
Gnguyf,p2340093,DIT/FT/1B/11,3.5,ST0506,SEP,7,80
,,,,ST0503,FOP,7,75
,,,,
Pxwexj,p2340094,DIT/FT/1B/10,2.0,ST0525,DBS,5,69
,,,,ST0506,SEP,5,63
,,,,
Stxcdb,p2340095,DIT/FT/1B/01,3.0,ST0503,FOP,4,68
,,,,ST0506,SEP,4,86
,,,,
Qdhzrf,p2340096,DIT/FT/1B/02,3.58,ST0503,FOP,5,72
,,,,ST0525,DBS,7,81
,,,,
Zntkmx,p2340097,DIT/FT/1B/09,4.0,ST0503,FOP,4,86
,,,,ST0503,FOP,4,88
,,,,
Angnbh,p2340098,DIT/FT/1B/01,3.08,ST0509,JPRG,7,84
,,,,ST0509,JPRG,6,62
,,,,
Xaxbyx,p2340099,DIT/FT/1B/12,3.17,ST0503,FOP,5,68
,,,,ST0503,FOP,7,85
,,,,
Chfcrl,p2340100,DIT/FT/1B/03,2.0,ST0509,JPRG,7,68
,,,,ST0503,FOP,4,67
,,,,
Rpxweq,p2340101,DIT/FT/1B/14,3.5,ST0509,JPRG,7,74
,,,,ST0503,FOP,7,81
,,,,
Izhvcd,p2340102,DIT/FT/1B/13,4.0,ST0525,DBS,7,88
,,,,ST0525,DBS,5,85
,,,,
Zhfhms,p2340103,DIT/FT/1B/13,3.64,ST0503,FOP,4,77
,,,,ST0525,DBS,7,82
,,,,
Upfosy,p2340104,DIT/FT/1B/03,2.91,ST0506,SEP,6,64
,,,,ST0509,JPRG,5,81
,,,,
Dskkag,p2340105,DIT/FT/1B/05,3.54,ST0506,SEP,7,89
,,,,ST0506,SEP,6,73
,,,,
Azbafd,p2340106,DIT/FT/1B/14,3.55,ST0503,FOP,5,73
,,,,ST0525,DBS,6,82
,,,,
Pywplr,p2340107,DIT/FT/1B/05,3.55,ST0525,DBS,6,88
,,,,ST0503,FOP,5,71
,,,,
Jeweho,p2340108,DIT/FT/1B/03,3.5,ST0506,SEP,7,81
,,,,ST0506,SEP,7,79
,,,,
Rwgesr,p2340109,DIT/FT/1B/14,3.08,ST0525,DBS,7,82
,,,,ST0506,SEP,6,62
,,,,
Tmhwrw,p2340110,DIT/FT/1B/04,3.0,ST0525,DBS,6,76
,,,,ST0503,FOP,7,70
,,,,
Ddxtwb,p2340111,DIT/FT/1B/13,2.73,ST0503,FOP,7,60
,,,,ST0525,DBS,4,83
,,,,
Nxdrhs,p2340112,DIT/FT/1B/06,2.89,ST0506,SEP,5,69
,,,,ST0509,JPRG,4,85
,,,,
Oodyep,p2340113,DIT/FT/1B/14,3.17,ST0503,FOP,7,86
,,,,ST0509,JPRG,5,64
,,,,
Zzpbyq,p2340114,DIT/FT/1B/08,2.54,ST0503,FOP,6,64
,,,,ST0506,SEP,7,70
,,,,
Fvjtgh,p2340115,DIT/FT/1B/02,2.55,ST0503,FOP,5,62
,,,,ST0503,FOP,6,73
,,,,
Kfsciq,p2340116,DIT/FT/1B/13,3.55,ST0506,SEP,6,86
,,,,ST0509,JPRG,5,76
,,,,
Pttuun,p2340117,DIT/FT/1B/09,3.54,ST0509,JPRG,7,85
,,,,ST0509,JPRG,6,72
,,,,
Nahico,p2340118,DIT/FT/1B/13,3.55,ST0503,FOP,5,75
,,,,ST0525,DBS,6,89
,,,,
Ltqyxt,p2340119,DIT/FT/1B/04,3.0,ST0506,SEP,7,68
,,,,ST0503,FOP,7,84
,,,,
Itszro,p2340120,DIT/FT/1B/15,3.5,ST0509,JPRG,4,81
,,,,ST0525,DBS,4,71
,,,,
Ipgzrw,p2340121,DIT/FT/1B/15,4.0,ST0525,DBS,5,88
,,,,ST0503,FOP,4,83
,,,,
Eyalmx,p2340122,DIT/FT/1B/15,2.55,ST0503,FOP,5,65
,,,,ST0525,DBS,6,78
,,,,
Pymeol,p2340123,DIT/FT/1B/12,3.0,ST0509,JPRG,7,87
,,,,ST0509,JPRG,7,67
,,,,
Ovmnwg,p2340124,DIT/FT/1B/10,2.56,ST0503,FOP,5,78
,,,,ST0525,DBS,4,67
,,,,
Grxuia,p2340125,DIT/FT/1B/02,2.46,ST0503,FOP,6,70
,,,,ST0506,SEP,7,63
,,,,
Sddtux,p2340126,DIT/FT/1B/08,3.09,ST0503,FOP,5,66
,,,,ST0503,FOP,6,82
,,,,
Pcftdj,p2340127,DIT/FT/1B/15,2.55,ST0525,DBS,5,68
,,,,ST0525,DBS,6,77
,,,,
Skgnly,p2340128,DIT/FT/1B/03,2.5,ST0525,DBS,7,75
,,,,ST0525,DBS,7,68
,,,,
Ctagvl,p2340129,DIT/FT/1B/06,2.58,ST0509,JPRG,7,70
,,,,ST0503,FOP,5,60
,,,,
Pzqyfu,p2340130,DIT/FT/1B/05,2.5,ST0509,JPRG,4,72
,,,,ST0509,JPRG,4,62
,,,,
Aqmxjx,p2340131,DIT/FT/1B/15,4.0,ST0506,SEP,4,86
,,,,ST0509,JPRG,6,90
,,,,
Zcqiuq,p2340132,DIT/FT/1B/14,4.0,ST0506,SEP,5,84
,,,,ST0525,DBS,4,89
,,,,
Sjzdws,p2340133,DIT/FT/1B/01,2.36,ST0509,JPRG,4,79
,,,,ST0509,JPRG,7,65
,,,,
Kxfpck,p2340134,DIT/FT/1B/11,4.0,ST0506,SEP,5,86
,,,,ST0509,JPRG,4,82
,,,,
Zxdhsl,p2340135,DIT/FT/1B/15,2.0,ST0506,SEP,4,68
,,,,ST0506,SEP,5,66
,,,,
Kxkype,p2340136,DIT/FT/1B/09,3.2,ST0506,SEP,4,61
,,,,ST0506,SEP,6,80
,,,,
Ozoiov,p2340137,DIT/FT/1B/10,2.54,ST0509,JPRG,7,71
,,,,ST0509,JPRG,6,64
,,,,
Jdnapl,p2340138,DIT/FT/1B/13,2.0,ST0525,DBS,7,63
,,,,ST0509,JPRG,5,62
,,,,
Orpedq,p2340139,DIT/FT/1B/10,2.0,ST0506,SEP,7,66
,,,,ST0506,SEP,5,64
,,,,
Cgxsqk,p2340140,DIT/FT/1B/02,2.42,ST0503,FOP,5,79
,,,,ST0525,DBS,7,65
,,,,
Kzvzqm,p2340141,DIT/FT/1B/12,2.54,ST0509,JPRG,7,77
,,,,ST0503,FOP,6,66
,,,,
Dujcyn,p2340142,DIT/FT/1B/02,2.8,ST0506,SEP,6,68
,,,,ST0525,DBS,4,84
,,,,
Inzxfi,p2340143,DIT/FT/1B/08,3.0,ST0506,SEP,5,73
,,,,ST0509,JPRG,4,73
,,,,
Towfyc,p2340144,DIT/FT/1B/01,3.0,ST0506,SEP,5,66
,,,,ST0525,DBS,5,89
,,,,
Gtwiri,p2340145,DIT/FT/1B/04,2.54,ST0509,JPRG,7,74
,,,,ST0525,DBS,6,61
,,,,
Qufcjx,p2340146,DIT/FT/1B/12,3.08,ST0509,JPRG,6,63
,,,,ST0509,JPRG,7,81
,,,,
Mfdcjz,p2340147,DIT/FT/1B/02,2.4,ST0506,SEP,4,79
,,,,ST0525,DBS,6,66
,,,,
Dmsovl,p2340148,DIT/FT/1B/04,3.0,ST0525,DBS,6,89
,,,,ST0506,SEP,6,62
,,,,
Jfqptv,p2340149,DIT/FT/1B/08,2.5,ST0509,JPRG,6,74
,,,,ST0506,SEP,6,68
,,,,
Covear,p2340150,DIT/FT/1B/14,3.5,ST0525,DBS,7,73
,,,,ST0503,FOP,7,85
,,,,
Vlnjnp,p2340151,DIT/FT/1B/15,3.6,ST0503,FOP,6,81
,,,,ST0503,FOP,4,78
,,,,
Djscmb,p2340152,DIT/FT/1B/15,3.4,ST0509,JPRG,4,89
,,,,ST0525,DBS,6,79
,,,,
Wmjoyc,p2340153,DIT/FT/1B/04,3.09,ST0506,SEP,5,68
,,,,ST0525,DBS,6,83
,,,,
Miuyde,p2340154,DIT/FT/1B/12,4.0,ST0525,DBS,7,86
,,,,ST0525,DBS,4,80
,,,,
Prqejd,p2340155,DIT/FT/1B/11,2.5,ST0525,DBS,5,74
,,,,ST0525,DBS,5,60
,,,,
Yfiaga,p2340156,DIT/FT/1B/15,3.5,ST0503,FOP,4,73
,,,,ST0503,FOP,4,80
,,,,
Idvrbz,p2340157,DIT/FT/1B/01,3.58,ST0509,JPRG,5,75
,,,,ST0506,SEP,7,88
,,,,
Dpactn,p2340158,DIT/FT/1B/08,3.0,ST0506,SEP,5,69
,,,,ST0503,FOP,5,89
,,,,
Tqxnsn,p2340159,DIT/FT/1B/10,3.0,ST0509,JPRG,4,76
,,,,ST0509,JPRG,7,71
,,,,
Oukgpe,p2340160,DIT/FT/1B/13,3.0,ST0509,JPRG,7,63
,,,,ST0506,SEP,7,88
,,,,
Qopvth,p2340161,DIT/FT/1B/07,3.0,ST0506,SEP,7,76
,,,,ST0509,JPRG,4,79
,,,,
Lgjxip,p2340162,DIT/FT/1B/05,2.89,ST0506,SEP,4,82
,,,,ST0503,FOP,5,63
,,,,
Muennb,p2340163,DIT/FT/1B/13,3.0,ST0503,FOP,6,60
,,,,ST0525,DBS,6,90
,,,,
Nvrkdn,p2340164,DIT/FT/1B/11,4.0,ST0503,FOP,7,87
,,,,ST0525,DBS,7,83
,,,,
Jhlqge,p2340165,DIT/FT/1B/08,3.5,ST0525,DBS,4,80
,,,,ST0509,JPRG,4,71
,,,,
Djhejt,p2340166,DIT/FT/1B/08,4.0,ST0506,SEP,4,90
,,,,ST0506,SEP,6,82
,,,,
Drssjz,p2340167,DIT/FT/1B/05,2.0,ST0525,DBS,4,63
,,,,ST0503,FOP,4,61
,,,,
Wspjnm,p2340168,DIT/FT/1B/11,3.36,ST0503,FOP,4,80
,,,,ST0509,JPRG,7,75
,,,,
Nbynkz,p2340169,DIT/FT/1B/06,3.44,ST0525,DBS,5,72
,,,,ST0503,FOP,4,87
,,,,
Hrrfsy,p2340170,DIT/FT/1B/07,2.83,ST0525,DBS,5,83
,,,,ST0525,DBS,7,64
,,,,
Wfjmfh,p2340171,DIT/FT/1B/05,3.0,ST0509,JPRG,6,81
,,,,ST0503,FOP,6,69
,,,,
Ocppyn,p2340172,DIT/FT/1B/15,2.0,ST0506,SEP,7,68
,,,,ST0503,FOP,6,69
,,,,
Xstsqo,p2340173,DIT/FT/1B/08,2.56,ST0506,SEP,4,60
,,,,ST0509,JPRG,5,77
,,,,
Smxpub,p2340174,DIT/FT/1B/04,3.0,ST0525,DBS,4,74
,,,,ST0503,FOP,7,70
,,,,
Qfbdyo,p2340175,DIT/FT/1B/10,2.54,ST0506,SEP,6,69
,,,,ST0525,DBS,7,77
,,,,
Gzohcs,p2340176,DIT/FT/1B/09,2.0,ST0509,JPRG,7,63
,,,,ST0525,DBS,6,62
,,,,
Jwtemy,p2340177,DIT/FT/1B/14,3.11,ST0506,SEP,5,87
,,,,ST0503,FOP,4,64
,,,,
Oujwou,p2340178,DIT/FT/1B/13,3.5,ST0509,JPRG,7,87
,,,,ST0506,SEP,7,77
,,,,
Xswwsk,p2340179,DIT/FT/1B/13,3.0,ST0503,FOP,5,73
,,,,ST0503,FOP,4,73
,,,,
Ypscwm,p2340180,DIT/FT/1B/04,2.45,ST0525,DBS,6,68
,,,,ST0525,DBS,5,74
,,,,
Rarfks,p2340181,DIT/FT/1B/08,2.0,ST0509,JPRG,4,61
,,,,ST0506,SEP,6,62
,,,,
Bnkrjx,p2340182,DIT/FT/1B/07,3.0,ST0503,FOP,7,66
,,,,ST0503,FOP,7,81
,,,,
Oyvlov,p2340183,DIT/FT/1B/04,4.0,ST0506,SEP,5,85
,,,,ST0503,FOP,5,85
,,,,
Tthstg,p2340184,DIT/FT/1B/10,2.5,ST0509,JPRG,7,75
,,,,ST0503,FOP,7,66
,,,,
Ejhcgl,p2340185,DIT/FT/1B/07,2.42,ST0506,SEP,5,72
,,,,ST0525,DBS,7,69
,,,,
Tgyxjq,p2340186,DIT/FT/1B/13,3.0,ST0525,DBS,6,71
,,,,ST0525,DBS,6,72
,,,,
Ejzcmf,p2340187,DIT/FT/1B/14,2.0,ST0506,SEP,5,66
,,,,ST0503,FOP,4,62
,,,,
Cayfql,p2340188,DIT/FT/1B/14,3.55,ST0506,SEP,5,72
,,,,ST0503,FOP,6,83
,,,,
Snzqtn,p2340189,DIT/FT/1B/12,2.44,ST0525,DBS,4,73
,,,,ST0509,JPRG,5,68
,,,,
Sjprqs,p2340190,DIT/FT/1B/12,2.0,ST0525,DBS,5,62
,,,,ST0506,SEP,4,64
,,,,
Xnncxg,p2340191,DIT/FT/1B/01,2.5,ST0506,SEP,6,65
,,,,ST0506,SEP,6,73
,,,,
Ebvdaw,p2340192,DIT/FT/1B/11,4.0,ST0525,DBS,5,87
,,,,ST0525,DBS,7,81
,,,,
Wqatmb,p2340193,DIT/FT/1B/12,2.5,ST0525,DBS,6,78
,,,,ST0509,JPRG,6,66
,,,,
Mfzeoz,p2340194,DIT/FT/1B/15,2.5,ST0506,SEP,6,69
,,,,ST0506,SEP,6,79
,,,,
Jesdbo,p2340195,DIT/FT/1B/08,2.36,ST0525,DBS,4,76
,,,,ST0525,DBS,7,63
,,,,
Hvgyfj,p2340196,DIT/FT/1B/02,4.0,ST0506,SEP,5,82
,,,,ST0503,FOP,5,80
,,,,
Ttzufr,p2340197,DIT/FT/1B/12,3.5,ST0506,SEP,5,73
,,,,ST0525,DBS,5,81
,,,,
Kriuew,p2340198,DIT/FT/1B/08,2.56,ST0503,FOP,4,67
,,,,ST0509,JPRG,5,71
,,,,
Pdmjel,p2340199,DIT/FT/1B/11,4.0,ST0509,JPRG,4,83
,,,,ST0525,DBS,5,85
,,,,
Ppbdwm,p2340200,DIT/FT/1B/15,3.36,ST0503,FOP,4,89
,,,,ST0509,JPRG,7,77
,,,,
Cflxfy,p2340201,DIT/FT/1B/03,3.58,ST0509,JPRG,7,80
,,,,ST0525,DBS,5,76
,,,,
Rdkzjd,p2340202,DIT/FT/1B/13,2.8,ST0503,FOP,6,61
,,,,ST0503,FOP,4,88
,,,,
Mcerrg,p2340203,DIT/FT/1B/06,3.0,ST0525,DBS,4,76
,,,,ST0503,FOP,7,77
,,,,
Ktiikw,p2340204,DIT/FT/1B/10,2.91,ST0509,JPRG,5,85
,,,,ST0503,FOP,6,67
,,,,
Yhqqtu,p2340205,DIT/FT/1B/14,2.54,ST0509,JPRG,6,68
,,,,ST0503,FOP,7,72
,,,,
Vxmqai,p2340206,DIT/FT/1B/14,3.0,ST0503,FOP,4,70
,,,,ST0506,SEP,7,71
,,,,
Msbkxr,p2340207,DIT/FT/1B/10,3.0,ST0525,DBS,5,74
,,,,ST0525,DBS,5,76
,,,,
Lktkza,p2340208,DIT/FT/1B/05,2.8,ST0506,SEP,4,86
,,,,ST0509,JPRG,6,61
,,,,
Fzmudb,p2340209,DIT/FT/1B/13,3.0,ST0525,DBS,4,73
,,,,ST0506,SEP,7,73
,,,,
Ffridx,p2340210,DIT/FT/1B/14,2.8,ST0509,JPRG,4,87
,,,,ST0509,JPRG,6,63
,,,,
Nxzytr,p2340211,DIT/FT/1B/01,3.2,ST0525,DBS,4,66
,,,,ST0525,DBS,6,88
,,,,
Ckgdhv,p2340212,DIT/FT/1B/14,2.56,ST0525,DBS,5,73
,,,,ST0506,SEP,4,63
,,,,
Wckizy,p2340213,DIT/FT/1B/08,2.58,ST0525,DBS,7,71
,,,,ST0503,FOP,5,63
,,,,
Qazxgp,p2340214,DIT/FT/1B/10,2.73,ST0509,JPRG,7,65
,,,,ST0509,JPRG,4,80
,,,,
Igzbmi,p2340215,DIT/FT/1B/12,4.0,ST0525,DBS,7,90
,,,,ST0506,SEP,4,90
,,,,
Ujdoxc,p2340216,DIT/FT/1B/08,3.0,ST0525,DBS,5,70
,,,,ST0525,DBS,6,78
,,,,
Qtqadx,p2340217,DIT/FT/1B/08,2.55,ST0525,DBS,5,60
,,,,ST0506,SEP,6,72
,,,,
Csemgs,p2340218,DIT/FT/1B/14,3.0,ST0525,DBS,5,71
,,,,ST0503,FOP,5,76
,,,,
